Airline,Source,Destination,Route,Duration,Total_Stops,month,day in a month,Dep_hour,Dep_minute,Arrival_Hour,Arrival_Minute
Vistara,Delhi,Cochin,DEL → COK,190,0,4,1,14,40,17,50
Air India,Kolkata,Banglore,CCU → BBI → BOM → BLR,760,2,3,24,9,10,21,50
GoAir,Banglore,Delhi,BLR → DEL,175,0,5,15,7,45,10,40
IndiGo,Banglore,Delhi,BLR → DEL,165,0,4,1,6,5,8,50
Jet Airways,Delhi,Cochin,DEL → JAI → BOM → COK,1615,2,5,18,9,40,12,35
IndiGo,Banglore,Delhi,BLR → DEL,170,0,6,21,0,25,3,15
Air India,Delhi,Cochin,DEL → BHO → BOM → COK,1395,2,5,21,20,0,19,15
IndiGo,Delhi,Cochin,DEL → BLR → COK,295,1,4,21,5,10,10,5
Air India,Kolkata,Banglore,CCU → BOM → COK → BLR,1780,2,5,6,9,25,15,5
IndiGo,Delhi,Cochin,DEL → HYD → COK,320,1,4,21,6,50,12,10
Jet Airways,Banglore,Delhi,BLR → DEL,180,0,6,12,17,45,20,45
Vistara,Kolkata,Banglore,CCU → DEL → BLR,1580,1,6,12,20,20,22,40
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,800,1,6,12,18,55,8,15
Jet Airways,Delhi,Cochin,DEL → AMD → BOM → COK,810,2,5,21,23,5,12,35
SpiceJet,Kolkata,Banglore,CCU → BLR,145,0,5,1,9,0,11,25
IndiGo,Kolkata,Banglore,CCU → BLR,155,0,6,24,20,20,22,55
SpiceJet,Banglore,Delhi,BLR → DEL,160,0,4,12,5,55,8,35
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1270,1,5,27,21,50,19,0
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,375,1,3,18,22,50,5,5
IndiGo,Delhi,Cochin,DEL → BOM → COK,485,1,3,9,17,30,1,35
Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,1570,1,5,6,17,0,19,10
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,765,1,3,12,18,55,7,40
SpiceJet,Banglore,Delhi,BLR → DEL,175,0,5,21,21,10,0,5
Air India,Mumbai,Hyderabad,BOM → JDH → JAI → DEL → HYD,1775,3,3,12,9,40,15,15
Vistara,Banglore,Delhi,BLR → DEL,165,0,4,1,19,30,22,15
Air India,Delhi,Cochin,DEL → BLR → COK,1565,1,3,6,6,10,8,15
IndiGo,Banglore,Delhi,BLR → DEL,165,0,4,3,6,5,8,50
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,780,1,3,27,8,0,21,0
Air India,Banglore,New Delhi,BLR → DEL,165,0,3,3,17,0,19,45
Air India,Banglore,New Delhi,BLR → BOM → DEL,865,1,3,15,8,50,23,15
IndiGo,Kolkata,Banglore,CCU → BLR,155,0,5,1,4,40,7,15
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,450,1,3,3,8,0,15,30
Multiple carriers,Delhi,Cochin,DEL → GWL → IDR → BOM → COK,565,3,3,6,11,35,21,0
Vistara,Banglore,New Delhi,BLR → DEL,160,0,3,24,11,30,14,10
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,550,1,3,1,7,0,16,10
GoAir,Kolkata,Banglore,CCU → BOM → BLR,495,1,5,18,23,30,7,45
Jet Airways,Delhi,Cochin,DEL → MAA → BOM → COK,650,2,3,27,17,35,4,25
IndiGo,Banglore,Delhi,BLR → DEL,175,0,6,6,18,55,21,50
Jet Airways,Delhi,Cochin,DEL → AMD → BOM → COK,1760,2,5,27,23,5,4,25
Air India,Delhi,Cochin,DEL → NAG → BOM → COK,2240,2,4,9,5,55,19,15
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,490,1,6,24,12,50,21,0
Air India,Kolkata,Banglore,CCU → BOM → AMD → BLR,1200,2,4,1,9,25,5,25
GoAir,Banglore,Delhi,BLR → DEL,165,0,5,1,20,55,23,40
Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,1745,1,5,6,17,0,22,5
Air India,Kolkata,Banglore,CCU → JAI → DEL → BLR,725,2,5,18,8,20,20,25
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,590,1,6,6,8,25,18,15
Vistara,Chennai,Kolkata,MAA → CCU,140,0,6,9,17,45,20,5
SpiceJet,Banglore,Delhi,BLR → DEL,170,0,6,9,9,30,12,20
Jet Airways,Delhi,Cochin,DEL → BOM → COK,550,1,3,3,19,15,4,25
Vistara,Kolkata,Banglore,CCU → DEL → BLR,945,1,4,1,7,10,22,55
Jet Airways,Delhi,Cochin,DEL → JAI → BOM → COK,2295,2,3,6,5,30,19,45
GoAir,Banglore,Delhi,BLR → DEL,170,0,5,27,11,40,14,30
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,750,1,6,9,13,0,1,30
Jet Airways,Delhi,Cochin,DEL → JAI → BOM → COK,1375,2,6,12,5,30,4,25
Air India,Kolkata,Banglore,CCU → MAA → BLR,1440,1,5,9,14,35,14,35
Jet Airways,Delhi,Cochin,DEL → IDR → BOM → COK,1620,2,6,12,9,35,12,35
Air India,Delhi,Cochin,DEL → BHO → BOM → COK,1395,2,6,15,20,0,19,15
SpiceJet,Kolkata,Banglore,CCU → BLR,155,0,4,21,6,55,9,30
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,890,1,3,27,4,0,18,50
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1010,1,5,18,19,45,12,35
Air India,Banglore,New Delhi,BLR → CCU → DEL,1645,1,3,1,5,50,9,15
IndiGo,Kolkata,Banglore,CCU → BLR,155,0,5,1,20,20,22,55
Air India,Kolkata,Banglore,CCU → BOM → GOI → BLR,1210,2,5,12,9,25,5,35
IndiGo,Banglore,Delhi,BLR → DEL,170,0,6,18,0,25,3,15
IndiGo,Kolkata,Banglore,CCU → RPR → HYD → BLR,335,2,5,21,6,35,12,10
Air India,Kolkata,Banglore,CCU → DEL → COK → BLR,1100,2,5,9,7,0,1,20
Jet Airways,Banglore,New Delhi,BLR → BOM → JDH → DEL,420,2,3,18,8,55,15,55
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,330,1,4,1,6,30,12,0
IndiGo,Chennai,Kolkata,MAA → CCU,140,0,3,18,22,5,0,25
Air India,Kolkata,Banglore,CCU → DEL → BLR,795,1,5,21,10,0,23,15
Vistara,Kolkata,Banglore,CCU → DEL → BLR,1640,1,6,6,17,0,20,20
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1295,1,5,9,15,0,12,35
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1655,1,6,1,9,0,12,35
Jet Airways,Mumbai,Hyderabad,BOM → HYD,85,0,6,3,7,5,8,30
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1315,1,3,27,21,50,19,45
IndiGo,Kolkata,Banglore,CCU → BLR,170,0,3,21,5,30,8,20
IndiGo,Chennai,Kolkata,MAA → CCU,140,0,5,27,14,45,17,5
Air Asia,Kolkata,Banglore,CCU → DEL → BLR,955,1,5,1,7,35,23,30
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,740,1,3,6,8,0,20,20
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,480,1,6,1,13,0,21,0
Air India,Delhi,Cochin,DEL → BOM → COK,675,1,5,18,8,0,19,15
IndiGo,Delhi,Cochin,DEL → COK,195,0,5,12,14,25,17,40
Vistara,Kolkata,Banglore,CCU → DEL → BLR,965,1,5,6,17,0,9,5
Air India,Delhi,Cochin,DEL → CCU → BOM → COK,1580,2,3,9,16,55,19,15
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,365,1,3,1,18,40,0,45
IndiGo,Kolkata,Banglore,CCU → BBI → BLR,220,1,4,15,19,35,23,15
IndiGo,Mumbai,Hyderabad,BOM → HYD,90,0,6,12,12,0,13,30
IndiGo,Kolkata,Banglore,CCU → VTZ → BLR,335,1,6,6,10,30,16,5
Air India,Kolkata,Banglore,CCU → BOM → COK → BLR,1700,2,5,18,9,25,13,45
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1145,1,5,21,17,30,12,35
Air India,Banglore,New Delhi,BLR → BOM → DEL,830,1,3,12,6,45,20,35
Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,1540,1,5,21,20,25,22,5
Air India,Kolkata,Banglore,CCU → GAU → DEL → BLR,1660,2,4,1,16,45,20,25
GoAir,Banglore,Delhi,BLR → DEL,175,0,4,1,7,45,10,40
IndiGo,Kolkata,Banglore,CCU → NAG → BLR,325,1,5,6,18,5,23,30
IndiGo,Chennai,Kolkata,MAA → CCU,140,0,3,1,5,15,7,35
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,460,1,6,9,3,50,11,30
Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,505,1,6,9,9,35,18,0
IndiGo,Kolkata,Banglore,CCU → BLR,150,0,5,15,14,25,16,55
SpiceJet,Mumbai,Hyderabad,BOM → HYD,80,0,3,9,5,45,7,5
Air India,Kolkata,Banglore,CCU → DEL → AMD → BLR,1165,2,5,18,10,0,5,25
SpiceJet,Banglore,Delhi,BLR → DEL,170,0,4,27,9,30,12,20
Jet Airways,Banglore,Delhi,BLR → DEL,180,0,6,1,8,20,11,20
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,395,1,6,24,6,0,12,35
Jet Airways,Delhi,Cochin,DEL → BOM → COK,995,1,3,27,2,15,18,50
SpiceJet,Banglore,Delhi,BLR → DEL,175,0,4,1,21,10,0,5
Air India,Delhi,Cochin,DEL → RPR → NAG → BOM → COK,2280,3,3,9,5,15,19,15
Air India,Delhi,Cochin,DEL → BOM → COK,675,1,3,27,8,0,19,15
Jet Airways,Delhi,Cochin,DEL → IXC → BOM → COK,1325,2,3,21,6,20,4,25
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,390,1,6,6,19,0,1,30
Jet Airways,Mumbai,Hyderabad,BOM → HYD,90,0,5,21,19,35,21,5
Air India,Delhi,Cochin,DEL → GOI → BOM → COK,1245,2,6,24,10,55,7,40
SpiceJet,Mumbai,Hyderabad,BOM → HYD,90,0,5,21,22,45,0,15
IndiGo,Delhi,Cochin,DEL → BOM → COK,400,1,3,21,6,40,13,20
IndiGo,Delhi,Cochin,DEL → BOM → COK,305,1,5,21,20,25,1,30
IndiGo,Delhi,Cochin,DEL → BOM → COK,425,1,3,3,8,25,15,30
SpiceJet,Mumbai,Hyderabad,BOM → HYD,90,0,6,15,22,45,0,15
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,890,1,3,24,13,55,4,45
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,520,1,5,9,10,20,19,0
Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,1630,1,5,9,20,25,23,35
SpiceJet,Chennai,Kolkata,MAA → CCU,140,0,3,3,17,45,20,5
IndiGo,Banglore,New Delhi,BLR → DEL,175,0,3,3,10,5,13,0
Air India,Kolkata,Banglore,CCU → BBI → BOM → BLR,590,2,5,12,12,0,21,50
Air India,Banglore,Delhi,BLR → DEL,165,0,6,3,10,0,12,45
IndiGo,Delhi,Cochin,DEL → BOM → COK,845,1,5,15,11,25,1,30
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,720,1,5,27,9,0,21,0
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,570,1,5,24,14,5,23,35
IndiGo,Banglore,Delhi,BLR → DEL,170,0,5,12,10,10,13,0
IndiGo,Delhi,Cochin,DEL → BOM → COK,705,1,6,12,9,15,21,0
Jet Airways,Delhi,Cochin,DEL → BOM → COK,360,1,4,15,13,0,19,0
Jet Airways,Delhi,Cochin,DEL → BOM → COK,715,1,5,21,7,5,19,0
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,730,1,5,12,16,30,4,40
IndiGo,Kolkata,Banglore,CCU → BLR,170,0,3,12,5,30,8,20
Multiple carriers,Delhi,Cochin,DEL → IDR → BOM → COK,625,2,5,18,15,5,1,30
Multiple carriers,Delhi,Cochin,DEL → HYD → COK,765,1,6,3,9,45,22,30
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1265,1,6,9,21,10,18,15
IndiGo,Delhi,Cochin,DEL → BOM → COK,570,1,5,15,16,0,1,30
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,520,1,5,12,20,0,4,40
Multiple carriers,Delhi,Cochin,DEL → HYD → COK,555,1,6,3,13,15,22,30
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1315,1,5,18,14,5,12,0
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1430,1,6,12,16,30,16,20
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,540,1,5,21,10,0,19,0
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1395,1,6,1,19,45,19,0
Air India,Delhi,Cochin,DEL → BOM → COK,555,1,6,1,10,0,19,15
Air India,Delhi,Cochin,DEL → BLR → COK,570,1,3,21,13,30,23,0
Air India,Banglore,Delhi,BLR → DEL,165,0,5,12,10,0,12,45
Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,1520,1,4,1,9,35,10,55
Vistara,Banglore,Delhi,BLR → DEL,170,0,6,6,9,45,12,35
IndiGo,Banglore,Delhi,BLR → DEL,180,0,4,18,21,15,0,15
IndiGo,Banglore,Delhi,BLR → DEL,180,0,5,12,21,15,0,15
Air India,Banglore,Delhi,BLR → DEL,165,0,4,21,10,0,12,45
Air India,Delhi,Cochin,DEL → HYD → MAA → COK,1580,2,6,9,7,5,9,25
IndiGo,Delhi,Cochin,DEL → BOM → COK,975,1,4,9,9,15,1,30
Air India,Kolkata,Banglore,CCU → GAU → DEL → BLR,970,2,6,12,16,45,8,55
IndiGo,Chennai,Kolkata,MAA → CCU,145,0,5,15,11,35,14,0
Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,690,1,5,24,9,35,21,5
SpiceJet,Banglore,Delhi,BLR → DEL,170,0,6,12,9,30,12,20
Air India,Kolkata,Banglore,CCU → DEL → VGA → BLR,1620,2,3,24,7,0,10,0
IndiGo,Delhi,Cochin,DEL → COK,195,0,4,18,14,20,17,35
Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,690,1,6,12,9,35,21,5
Air Asia,Kolkata,Banglore,CCU → BLR,150,0,3,9,22,50,1,20
IndiGo,Banglore,Delhi,BLR → DEL,165,0,6,3,6,5,8,50
Jet Airways,Delhi,Cochin,DEL → BOM → COK,600,1,5,18,9,0,19,0
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,315,1,3,6,8,0,13,15
Air India,Banglore,Delhi,BLR → DEL,170,0,4,12,13,20,16,10
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,740,1,6,9,6,40,19,0
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,585,1,6,6,18,55,4,40
IndiGo,Delhi,Cochin,DEL → HYD → COK,515,1,3,21,7,35,16,10
IndiGo,Kolkata,Banglore,CCU → BLR,165,0,4,21,9,35,12,20
Jet Airways,Mumbai,Hyderabad,BOM → HYD,90,0,3,18,15,50,17,20
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1105,1,5,9,10,0,4,25
Jet Airways,Banglore,Delhi,BLR → DEL,165,0,5,6,6,0,8,45
IndiGo,Kolkata,Banglore,CCU → BLR,150,0,6,1,14,25,16,55
Jet Airways,Delhi,Cochin,DEL → BOM → COK,395,1,3,9,21,50,4,25
Jet Airways,Delhi,Cochin,DEL → JAI → BOM → COK,810,2,4,9,5,30,19,0
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,665,1,3,9,8,40,19,45
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1570,1,6,24,2,15,4,25
Jet Airways,Kolkata,Banglore,CCU → GAU → BLR,345,1,5,18,11,50,17,35
IndiGo,Delhi,Cochin,DEL → HYD → COK,455,1,5,27,8,35,16,10
Jet Airways,Mumbai,Hyderabad,BOM → DEL → HYD,405,1,3,12,9,50,16,35
Vistara,Banglore,Delhi,BLR → DEL,165,0,5,27,19,30,22,15
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,760,1,3,6,5,45,18,25
SpiceJet,Kolkata,Banglore,CCU → IXB → BLR,435,1,5,24,11,15,18,30
Vistara,Kolkata,Banglore,CCU → DEL → BLR,700,1,5,9,7,10,18,50
Vistara,Chennai,Kolkata,MAA → CCU,135,0,6,27,7,5,9,20
Vistara,Kolkata,Banglore,CCU → DEL → BLR,765,1,5,15,20,20,9,5
IndiGo,Banglore,Delhi,BLR → DEL,170,0,5,18,10,30,13,20
IndiGo,Mumbai,Hyderabad,BOM → HYD,85,0,3,15,6,20,7,45
Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,1080,1,5,12,20,25,14,25
Vistara,Banglore,Delhi,BLR → DEL,165,0,5,6,19,30,22,15
Jet Airways,Delhi,Cochin,DEL → AMD → BOM → COK,900,2,5,27,13,25,4,25
Air India,Mumbai,Hyderabad,BOM → HYD,75,0,5,21,19,30,20,45
Air India,Banglore,New Delhi,BLR → BOM → IDR → GWL → DEL,1480,3,3,12,17,25,18,5
IndiGo,Mumbai,Hyderabad,BOM → HYD,90,0,6,9,9,10,10,40
Jet Airways,Delhi,Cochin,DEL → JAI → BOM → COK,810,2,5,18,5,30,19,0
IndiGo,Chennai,Kolkata,MAA → CCU,145,0,5,3,5,15,7,40
Air India,Delhi,Cochin,DEL → HYD → MAA → COK,1210,2,6,24,13,15,9,25
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,730,1,4,1,16,30,4,40
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,735,1,5,12,20,0,8,15
Air India,Kolkata,Banglore,CCU → DEL → COK → TRV → BLR,1470,3,5,24,10,0,10,30
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,510,1,5,18,14,5,22,35
Jet Airways,Mumbai,Hyderabad,BOM → HYD,90,0,3,18,19,35,21,5
Jet Airways,Delhi,Cochin,DEL → COK,195,0,6,21,11,0,14,15
Vistara,Banglore,New Delhi,BLR → DEL,155,0,3,9,16,0,18,35
Air Asia,Kolkata,Banglore,CCU → BLR,150,0,3,15,22,50,1,20
IndiGo,Delhi,Cochin,DEL → BOM → COK,300,1,3,21,16,0,21,0
IndiGo,Banglore,New Delhi,BLR → DEL,170,0,3,9,5,30,8,20
Air India,Kolkata,Banglore,CCU → BLR,155,0,6,1,20,45,23,20
Air Asia,Kolkata,Banglore,CCU → DEL → BLR,720,1,5,15,22,40,10,40
Air India,Delhi,Cochin,DEL → COK,170,0,4,1,5,10,8,0
IndiGo,Delhi,Cochin,DEL → BOM → COK,860,1,6,3,6,40,21,0
Air India,Kolkata,Banglore,CCU → BOM → BLR,545,1,5,1,9,25,18,30
Jet Airways,Delhi,Cochin,DEL → BOM → COK,745,1,3,27,16,0,4,25
Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,1500,1,5,1,17,0,18,0
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,730,1,5,21,21,10,9,20
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,720,1,5,18,7,0,19,0
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,725,1,3,6,21,25,9,30
Air India,Delhi,Cochin,DEL → MAA → COK,765,1,5,1,20,40,9,25
IndiGo,Kolkata,Banglore,CCU → BLR,155,0,5,21,15,30,18,5
SpiceJet,Kolkata,Banglore,CCU → BLR,145,0,4,21,9,0,11,25
SpiceJet,Delhi,Cochin,DEL → MAA → COK,310,1,3,21,6,10,11,20
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,585,1,5,24,18,55,4,40
IndiGo,Delhi,Cochin,DEL → COK,185,0,3,18,14,30,17,35
Jet Airways,Delhi,Cochin,DEL → BOM → COK,620,1,6,6,2,15,12,35
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1570,1,6,15,2,15,4,25
Air India,Banglore,New Delhi,BLR → MAA → DEL,725,1,3,6,11,50,23,55
Air India,Kolkata,Banglore,CCU → BBI → BOM → BLR,1390,2,5,18,12,0,11,10
IndiGo,Kolkata,Banglore,CCU → BLR,155,0,4,21,20,20,22,55
IndiGo,Banglore,Delhi,BLR → DEL,170,0,5,3,10,10,13,0
Air India,Mumbai,Hyderabad,BOM → COK → MAA → HYD,990,2,3,6,5,30,22,0
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,685,1,5,15,8,25,19,50
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,600,1,5,15,9,0,19,0
Air India,Delhi,Cochin,DEL → BHO → BOM → COK,800,2,5,9,5,55,19,15
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,450,1,5,1,21,10,4,40
Air India,Delhi,Cochin,DEL → MAA → COK,965,1,5,21,17,20,9,25
IndiGo,Delhi,Cochin,DEL → BOM → COK,500,1,6,24,17,10,1,30
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1620,1,6,6,16,0,19,0
Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,505,1,4,1,9,35,18,0
Air India,Kolkata,Banglore,CCU → BLR,155,0,3,15,20,45,23,20
SpiceJet,Banglore,Delhi,BLR → DEL,175,0,4,3,21,10,0,5
Vistara,Kolkata,Banglore,CCU → DEL → BLR,1550,1,5,9,17,0,18,50
IndiGo,Mumbai,Hyderabad,BOM → HYD,90,0,5,6,12,0,13,30
Vistara,Kolkata,Banglore,CCU → DEL → BLR,1625,1,6,9,20,20,23,25
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1570,1,3,27,2,15,4,25
Jet Airways,Banglore,Delhi,BLR → DEL,185,0,4,1,18,55,22,0
Trujet,Mumbai,Hyderabad,BOM → NDC → HYD,195,1,3,6,13,5,16,20
Jet Airways,Banglore,Delhi,BLR → DEL,175,0,5,3,11,10,14,5
Air India,Delhi,Cochin,DEL → GOI → BOM → COK,1275,2,3,9,22,0,19,15
Air India,Kolkata,Banglore,CCU → IXR → DEL → BLR,1045,2,5,1,5,50,23,15
Air India,Banglore,New Delhi,BLR → COK → DEL,1520,1,3,1,22,0,23,20
Air Asia,Delhi,Cochin,DEL → BLR → COK,865,1,5,15,16,45,7,10
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1010,1,6,12,16,30,9,20
IndiGo,Delhi,Cochin,DEL → COK,195,0,3,27,5,35,8,50
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,735,1,5,18,8,45,21,0
Jet Airways,Mumbai,Hyderabad,BOM → HYD,90,0,5,3,10,20,11,50
IndiGo,Banglore,Delhi,BLR → DEL,175,0,4,27,7,10,10,5
Air Asia,Kolkata,Banglore,CCU → BLR,150,0,3,27,19,35,22,5
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1485,1,5,21,18,15,19,0
SpiceJet,Kolkata,Banglore,CCU → BLR,140,0,5,24,22,20,0,40
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,505,1,5,18,10,35,19,0
IndiGo,Kolkata,Banglore,CCU → BLR,155,0,3,24,15,20,17,55
Jet Airways,Mumbai,Hyderabad,BOM → HYD,85,0,6,21,7,5,8,30
IndiGo,Kolkata,Banglore,CCU → BLR,155,0,6,21,22,15,0,50
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,845,1,6,27,4,55,19,0
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1515,1,3,24,16,55,18,10
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1220,1,6,12,20,0,16,20
Air India,Delhi,Cochin,DEL → GOI → BOM → COK,500,2,6,24,10,55,19,15
Air India,Mumbai,Hyderabad,BOM → HYD,80,0,5,1,21,5,22,25
Jet Airways,Delhi,Cochin,DEL → BOM → COK,940,1,6,27,20,55,12,35
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,330,1,5,15,6,30,12,0
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,450,1,5,18,18,0,1,30
IndiGo,Kolkata,Banglore,CCU → BLR,155,0,6,24,17,15,19,50
Air India,Kolkata,Banglore,CCU → DEL → AMD → BLR,1165,2,6,9,10,0,5,25
Air India,Banglore,Delhi,BLR → DEL,170,0,6,1,13,20,16,10
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,875,1,5,6,14,5,4,40
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,520,1,5,21,10,35,19,15
Air India,Banglore,New Delhi,BLR → BOM → NAG → DEL,925,2,3,3,19,10,10,35
Air India,Kolkata,Banglore,CCU → BOM → COK → BLR,1700,2,5,24,9,25,13,45
Air India,Mumbai,Hyderabad,BOM → HYD,90,0,6,1,13,55,15,25
Jet Airways,Delhi,Cochin,DEL → BOM → COK,805,1,6,24,15,0,4,25
Air India,Delhi,Cochin,DEL → AMD → BOM → COK,1410,2,5,21,19,45,19,15
Air India,Delhi,Cochin,DEL → BOM → COK,635,1,3,9,8,40,19,15
IndiGo,Mumbai,Hyderabad,BOM → HYD,85,0,3,3,6,20,7,45
Air India,Kolkata,Banglore,CCU → DEL → BLR,1110,1,4,1,17,30,12,0
Air India,Delhi,Cochin,DEL → CCU → BOM → COK,1490,2,6,27,6,50,7,40
Jet Airways Business,Banglore,New Delhi,BLR → BOM → DEL,340,1,3,1,5,45,11,25
Jet Airways,Mumbai,Hyderabad,BOM → HYD,90,0,5,24,19,35,21,5
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,900,1,3,9,6,0,21,0
Air India,Delhi,Cochin,DEL → MAA → COK,1640,1,5,27,6,5,9,25
Air India,Delhi,Cochin,DEL → BOM → COK,760,1,6,24,19,0,7,40
Jet Airways,Delhi,Cochin,DEL → IDR → BOM → COK,1380,2,3,27,5,25,4,25
Air India,Banglore,Delhi,BLR → DEL,165,0,6,18,10,0,12,45
Air India,Banglore,Delhi,BLR → DEL,165,0,4,24,17,0,19,45
Air India,Banglore,Delhi,BLR → DEL,165,0,4,12,6,10,8,55
GoAir,Banglore,Delhi,BLR → DEL,170,0,5,6,11,40,14,30
GoAir,Banglore,Delhi,BLR → DEL,165,0,5,24,20,55,23,40
Air India,Kolkata,Banglore,CCU → DEL → BLR,1435,1,6,9,20,30,20,25
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1525,1,3,12,18,55,20,20
Air Asia,Delhi,Cochin,DEL → BLR → COK,870,1,4,24,7,55,22,25
Jet Airways,Kolkata,Banglore,CCU → GAU → BLR,435,1,5,9,10,20,17,35
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1365,1,3,6,11,40,10,25
GoAir,Banglore,Delhi,BLR → DEL,165,0,5,6,20,55,23,40
IndiGo,Delhi,Cochin,DEL → BOM → COK,285,1,3,21,10,45,15,30
Jet Airways,Delhi,Cochin,DEL → BOM → COK,620,1,6,3,2,15,12,35
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,465,1,6,3,11,30,19,15
Air India,Kolkata,Banglore,CCU → BOM → BLR,1350,1,5,6,9,25,7,55
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,465,1,3,6,11,30,19,15
Jet Airways,Mumbai,Hyderabad,BOM → HYD,80,0,3,21,3,5,4,25
IndiGo,Kolkata,Banglore,CCU → BLR,155,0,5,6,22,15,0,50
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,475,1,5,24,8,25,16,20
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,780,1,3,6,21,25,10,25
Vistara,Kolkata,Banglore,CCU → DEL → BLR,1065,1,6,9,17,0,10,45
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1025,1,5,18,18,55,12,0
SpiceJet,Banglore,Delhi,BLR → DEL,160,0,4,21,5,55,8,35
IndiGo,Banglore,Delhi,BLR → DEL,165,0,5,24,1,30,4,15
Jet Airways,Delhi,Cochin,DEL → BOM → COK,335,1,6,24,22,50,4,25
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,340,1,3,9,5,45,11,25
